logo_file	slug	db	old_logo	new_logo	status
3.png	hotel	ps_hotel	fq_hotel_logo.png	fq_hotel_logo.png	OK
4.png	warsztat	ps_warsztat	fq_warsztat_logo.png	fq_warsztat_logo.png	OK
5.png	nieruchomosci	ps_nieruchomosci	fq_nieruchomosci_logo.png	fq_nieruchomosci_logo.png	OK
6.png	logistyka	ps_logistyka	fq_logistyka_logo.png	fq_logistyka_logo.png	OK
7.png	ecommerce	ps_ecommerce	fq_ecommerce_logo.png	fq_ecommerce_logo.png	OK
8.png	kursy	ps_kursy	fq_kursy_logo.png	fq_kursy_logo.png	OK
9.png	oze	ps_oze	fq_oze_logo.png	fq_oze_logo.png	OK
10.png	agencja	ps_agencja	fq_agencja_logo.png	fq_agencja_logo.png	OK
11.png	rekrutacja	ps_rekrutacja	fq_rekrutacja_logo.png	fq_rekrutacja_logo.png	OK
12.png	medycyna	ps_medycyna	fq_medycyna_logo.png	fq_medycyna_logo.png	OK
13.png	eventy	ps_eventy	fq_eventy_logo.png	fq_eventy_logo.png	OK
14.png	gastronomia	ps_gastronomia	fq_gastronomia_logo.png	fq_gastronomia_logo.png	OK
