slug	logo_source	industry_module	extra_modules
agencja	agencja.png	zillapage	prchat
beauty	beauty.png	appointly	appointly,prchat,zillapage
demo	-	core	-
ecommerce	ecommerce.png	omni_sales	prchat
eventy	wydarzenia.png	flexstage	prchat
gastronomia	gastronomia.png	catering_management_module	appointly,prchat
hotel	hotel.png	hotel_management_system	prchat
kursy	kursy.png	flexacademy	prchat,zillapage
logistyka	logistyka.png	logistic	prchat
medycyna	medycyna.png	appointly	appointly,prchat
nieruchomosci	-	realestate	prchat
oze	oze.png	projects	prchat,zillapage
rekrutacja	rekrutacja.png	recruitment	prchat
serwiswww	-	website_maintenance_management	prchat
warsztat	warsztat.png	workshop	prchat
